"PÉRIODE DE RÉFÉRENCE","GÉO","VALEUR"
"Jul-54","Colombie-Britannique","1299000"
"Jul-54","Yukon","10000"
"Jul-54","Territoires du Nord-Ouest incluant Nunavut","17000"
"Oct-54","Canada","15444000"
"Oct-54","Terre-Neuve-et-Labrador","399000"
"Oct-54","Île-du-Prince-Édouard","101000"
"Oct-54","Nouvelle-Écosse","676000"
"Oct-54","Nouveau-Brunswick","543000"
"Oct-54","Québec","4436000"
"Oct-54","Ontario","5174000"
"Oct-54","Manitoba","830000"
"Oct-54","Saskatchewan","877000"
"Oct-54","Alberta","1070000"
"Oct-54","Colombie-Britannique","1311000"
"Oct-54","Yukon","10000"
"Oct-54","Territoires du Nord-Ouest incluant Nunavut","17000"
"Jan-55","Canada","15535000"
"Jan-55","Terre-Neuve-et-Labrador","401000"
"Jan-55","Île-du-Prince-Édouard","100000"
"Jan-55","Nouvelle-Écosse","678000"
"Jan-55","Nouveau-Brunswick","544000"
"Jan-55","Québec","4465000"
"Jan-55","Ontario","5208000"
"Jan-55","Manitoba","833000"
"Jan-55","Saskatchewan","877000"
"Jan-55","Alberta","1078000"
"Jan-55","Colombie-Britannique","1323000"
"Jan-55","Yukon","11000"
"Jan-55","Territoires du Nord-Ouest incluant Nunavut","17000"
"Apr-55","Canada","15620000"
"Apr-55","Terre-Neuve-et-Labrador","404000"
"Apr-55","Île-du-Prince-Édouard","100000"
"Apr-55","Nouvelle-Écosse","681000"
"Apr-55","Nouveau-Brunswick","546000"
"Apr-55","Québec","4492000"
"Apr-55","Ontario","5236000"
"Apr-55","Manitoba","837000"
"Apr-55","Saskatchewan","877000"
"Apr-55","Alberta","1084000"
"Apr-55","Colombie-Britannique","1334000"
"Apr-55","Yukon","11000"
"Apr-55","Territoires du Nord-Ouest incluant Nunavut","18000"
"Jul-55","Canada","15736000"
"Jul-55","Terre-Neuve-et-Labrador","407000"
"Jul-55","Île-du-Prince-Édouard","100000"
"Jul-55","Nouvelle-Écosse","684000"
"Jul-55","Nouveau-Brunswick","548000"
"Jul-55","Québec","4529000"
"Jul-55","Ontario","5278000"
"Jul-55","Manitoba","841000"
"Jul-55","Saskatchewan","879000"
"Jul-55","Alberta","1094000"
"Jul-55","Colombie-Britannique","1347000"
"Jul-55","Yukon","11000"
"Jul-55","Territoires du Nord-Ouest incluant Nunavut","18000"
"Oct-55","Canada","15834000"
"Oct-55","Terre-Neuve-et-Labrador","410000"
"Oct-55","Île-du-Prince-Édouard","100000"
"Oct-55","Nouvelle-Écosse","688000"
"Oct-55","Nouveau-Brunswick","550000"
"Oct-55","Québec","4557000"
"Oct-55","Ontario","5311000"
"Oct-55","Manitoba","844000"
"Oct-55","Saskatchewan","880000"
"Oct-55","Alberta","1102000"
"Oct-55","Colombie-Britannique","1362000"
"Oct-55","Yukon","12000"
"Oct-55","Territoires du Nord-Ouest incluant Nunavut","18000"
"Jan-56","Canada","15919000"
"Jan-56","Terre-Neuve-et-Labrador","412000"
"Jan-56","Île-du-Prince-Édouard","100000"
"Jan-56","Nouvelle-Écosse","690000"
"Jan-56","Nouveau-Brunswick","552000"
"Jan-56","Québec","4581000"
"Jan-56","Ontario","5344000"
"Jan-56","Manitoba","845000"
"Jan-56","Saskatchewan","879000"
"Jan-56","Alberta","1109000"
"Jan-56","Colombie-Britannique","1377000"
"Jan-56","Yukon","12000"
"Jan-56","Territoires du Nord-Ouest incluant Nunavut","18000"
"Apr-56","Canada","16004000"
"Apr-56","Terre-Neuve-et-Labrador","414000"
